step,time_s,turned_on_max,turned_on_bright,turned_on_dim,got_brighter,got_dim,turned_off
2,0.067,,,,r1c6(toB) r2c6(toB) r2c10(toB) r3c10(toB) r4c10(toB),r3c2(toD) r5c14(toD) r7c3(toD) r7c4(toD) r7c6(toD),r6c2 r6c14
3,0.135,,,,r3c15(toB) r7c4(toB),r2c10(toD),
4,0.202,,,r6c2,r2c10(toB) r3c2(toB),,
5,0.27,,,r6c14,r5c14(toB) r6c10(toB) r7c3(toB) r7c6(toB),r2c10(toD),
6,0.337,,,r7c2,r2c10(toB) r4c2(toB) r5c6(toB) r7c5(toB),,
7,0.405,,,,r7c10(toB),,
8,0.472,,,r7c14,r6c14(toB),r2c10(toD),
9,0.54,,,,r5c2(toB),r1c6(toD) r2c6(toD) r5c6(toD),
10,0.607,,,,r6c2(toB) r7c14(toB),r4c10(toD) r6c10(toD) r7c10(toD),
11,0.675,,,,r7c2(toB),r1c10(toD),
12,0.742,,,,r1c6(toM) r1c10(toM) r1c15(toM) r2c6(toB) r2c10(toB) r2c15(toB),r3c10(toD) r3c15(toD),
13,0.81,,,,,r2c6(toD),
14,0.877,,,,,r2c10(toD),
15,1.012,,,,,r4c15(toD),
16,1.08,,,,,,r3c6
17,1.552,,,,r2c10(toB),,
18,1.62,,,,,r2c10(toD),
19,2.16,,,,,r2c15(toD),
20,2.295,,,,,r2c16(toD),
21,2.7,,,,r2c16(toB),,
22,2.902,,,,,r2c16(toD),
23,3.375,,,,r2c16(toB),,
24,3.442,,,,,r2c16(toD),
25,3.51,,,,r2c15(toB) r2c16(toB),,
26,3.712,,,,,r2c15(toD),
27,3.847,,,,r2c6(toM) r2c10(toM) r2c15(toM) r3c15(toB),,
28,3.915,,,,,,r4c6
29,4.05,,,,,r3c15(toD),
30,4.185,,,,,r2c16(toD),
31,4.32,,,,r2c16(toB),,r5c10 r5c15
32,4.455,,,,,r3c7(toD),r6c15
33,4.522,,,,,r1c14(toD) r2c12(toD) r2c16(toD),r5c6
34,4.59,,,r6c15,,,
35,4.657,,,,,r1c7(toD) r3c12(toD),
36,4.86,,,,r2c12(toM) r3c12(toB),r1c12(toD) r3c8(toD) r3c9(toD) r3c11(toD),r6c15
37,4.927,,,r6c15,r3c8(toB),r3c12(toD),
38,4.995,,,,r3c9(toB),r2c11(toD) r2c12(toD) r4c11(toD),
39,5.062,,,r5c6,r2c11(toB) r4c11(toB),,r6c15
40,5.13,,,r6c15,r2c16(toM),,
41,5.197,,,,r1c7(toB),,
42,5.265,,,r5c10,r1c12(toB) r1c14(toB) r3c11(toB),r2c16(toD),
43,5.4,,,r5c15,r3c7(toB),r7c14(toD),
44,5.535,,,,r3c12(toB),,r5c15
45,5.602,,,,,r1c16(toD),
