step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
1,0.0,state after change,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OooOOOOOOOOOOOOO,O.oooOOOOOOOOoOO,O.oooOOOOOOOOoOO,O.ooooOOOOOOOoOO
2,0.202,state after change,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,O.oOOOOOOOOOOoOO,O.oooOOOOOOOOoOO,O.oooOOOOOOOOoOO,O.oooooOoOOOOoOO
3,0.405,state after change,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,O.oOoOOOOOOOOoOO,O.oooOOOOOOOOoOO
4,0.607,state after change,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
5,0.81,state after change,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
6,1.012,state after change,OOOOOOOoOOOoOOOO,OOOOOOOoOOOOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
7,1.215,state after change,OOOoOOOoOOOooOOO,OOOOOOOoOOOoOOOO,OOOOOOOoOOOOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
8,1.417,state after change,OOOoOOooOOoooOOO,OOOOOOooOOooOOOO,OOOOOooooooOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
9,1.62,state after change,OOOoOOoooOOooOOO,OOOOOOoooOOoOOOo,OOOOOooooooooOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
10,1.822,state after change,OOOoOOoooOooOOOO,OOOOOOoooOooOOOO,oOOOOooooooooOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
11,2.025,state after change,OOOoOOoooOoooOOO,OOOoOOoooOoooOOO,oOOOOooooooooOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
12,2.227,state after change,OOOoOOoooOoooOOO,OOOooOoooOoooOOo,oOOOOooooooooOoO,OOOOOOooooOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
13,2.43,state after change,OOOoOOoooOoooOOO,OOOOOOoooOoooOOo,OOOOOooooooooOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
14,2.632,state after change,OOOoOOoooOoooOOo,OOOooOoooOoooOOo,oOOOOooooooooOOO,oOOOOOOoOoOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
15,2.835,state after change,oooooOoooOoooOOO,oOOooOoooOoooOOo,oOOOOooooooooOoO,oOOOOoooOoOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
16,3.037,state after change,oOooOOoooOoooOOo,oOOooOoooOoooOOo,oOOOoooooooooOoO,oOOOOooooooOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
17,3.24,state after change,oOOoOOoooOoooOOo,oOOooOoooOoooOOo,oOOOoooooooooOoO,oOOOOooooooOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
18,3.442,state after change,oOOoOOoooOoooOOO,oOOooOoooOoooOOo,oOOOoooooooooOOO,oOOOOooooooOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
19,3.645,state after change,oOOoOOoooOoooOOO,oOOooOoooOoooOOo,oOOOoooooooooOoO,oOOOOooooooOoOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
20,3.847,state after change,OOOoOOoooOoooOOO,OOOoOOOooOoooOOo,OOOOOOoooOoooOOO,oOOOOoooooOOOOOO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
21,4.05,state after change,oOoooOoooOoooOOO,OOOOoOoooOoooOOo,oOOooooooooooOOO,oOOooooooooooOoO,oOOOOooooOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
22,4.252,state after change,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOoooooooooooOOO,oOoooooooooooOoO,oOOoooooooOOOOOO,oOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
23,4.455,state after change,oOoooOoooOooooOo,OOoooOoOoOoooOOo,ooooooooooooooOO,oooooooooooooOoO,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
