step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
1,0.0,state after change,BBMMMDMMMBMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BDMMMDMMMDMMMBBM,BDBMMDMMMDMMMBDM,BDBBBBMMMDMMMDDM,M_BBDBMMBDMMM_DM,________________
2,0.067,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMBMMMMDM,BDMMMDMMMBMMMMDM,BDMMMDMMMBMMMBBM,BDBBBDMMMDMMMDDM,B_BBBBMMMDMMM_DM,M_DDDDBMBDMMM_DM,________________
3,0.135,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMDMMMMDM,BDMMMDMMMBMMMBBM,BDMMMDMMMBMMMBBM,BDBMBDMMMDMMMDDM,B_BBBBMMMDMMM_DM,M_DBDDBMBDMMM_DB,________________
4,0.202,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMBMMMMDM,BBMMMDMMMBMMMMBM,BDMMMDMMMBMMMBBM,BDBMBDMMMDMMMDDM,BDBBBBMMMDMMM_DM,M_DBDDMMBDMMM_DM,________________
5,0.27,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMDMMMMDM,BBMMMDMMMBMMMMBM,BDMMMDMMMBMMMBBM,BDBMMDMMMDMMMBDM,BDBBBBMMMBMMMDDM,M_BBDBMMBDMMM_DM,________________
6,0.337,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMBMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMBMMMBBM,BDMMMBMMMDMMMBDM,BDBMBBMMMBMMMDDM,MDBBBBMMMDMMM_DM,________________
7,0.405,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMBMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMBMMMMBM,BDMMMBMMMDMMMBDM,BDBMMBMMMBMMMDDM,MDBBBBMMMBMMM_DM,________________
8,0.472,state after change,BBMMMBMMMBMMMMDM,BBMMMBMMMDMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMBMMMMBM,BDMMMBMMMDMMMBDM,BDMMMBMMMBMMMBDM,MDBBBBMMMBMMMDDM,________________
9,0.54,state after change,BBMMMDMMMBMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMBMMMMBM,BBMMMDMMMDMMMMDM,BDMMMBMMMBMMMBDM,MDBMBBMMMBMMMDDM,________________
10,0.607,state after change,BBMMMDMMMBMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMBDM,MDMMMBMMMDMMMBDM,________________
11,0.675,state after change,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMBMMMMBM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,MBMMMBMMMDMMMBDM,________________
12,0.742,state after change,MMMMMMMMMMMMMMMM,BBMMMBMMMBMMMMBM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,MBMMMBMMMDMMMBDM,________________
13,0.81,state after change,MMMMMMMMMMMMMMMM,BBMMMDMMMBMMMMBM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,MBMMMBMMMDMMMMDM,________________
14,0.877,state after change,MMMMMMMMMMMMMMMM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
15,1.012,state after change,MMMMMMMMMMMMMMMM,BBMMMDMMMDMMMMBM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BMMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
16,1.08,state after change,MMMMMMMMMMMMMMMM,BBMMMDMMMDMMMMBM,BBMMM_MMMDMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BMMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
17,1.552,state after change,MMMMMMBMMMMBMBMM,BBMMBDBMMBMMMBBB,BBMMM_BMMDMMMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BMMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
18,1.62,state after change,MMMMMMBMBMMBMBMM,BBMMBDBMBDMBMBBB,BBMMM_BMMDMBMMDM,BBMMMDMMMDMMMMDM,BBMMMDMMMDMMMMDM,BMMMMBMMMDMMMMDM,BMMMMBMMMDMMMMDM,________________
19,2.16,state after change,MMMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDMMBDMMMMDM,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
20,2.295,state after change,MMMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDD,BBMMM_BBBDBBBBDB,BBMMMDMBBDBBBMDB,BBMMMDMMMDMMMMDM,BBMMMBMMMDMMMMDM,BMMMMBMMMDMMMMDM,________________
21,2.7,state after change,MMMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDMMBDMBMMDM,BBMMMDMMMDMMMMDM,BMMMMBMMMDMMMMDM,MMMMMBMMMDMMMMDM,________________
22,2.902,state after change,BBMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDD,BBMMM_BBBDBBBBDB,BBMMMDMMBDMBBMDB,BBMMMDMMBDMMMMDM,BBMMMBMMMDMMMMDM,BMMMMBMMMDMMMMDM,________________
23,3.375,state after change,BBMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBMDB,BBMMMDMMBDBMMMDM,BBMMMBMMBDMMMMDM,BMMMMBMBMDMMMMDM,________________
24,3.442,state after change,BBMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDD,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBMDM,BBMMMDMMBDBMMMDM,BBMMMBMMBDMMMMDM,BMMMMBMBMDMMMMDM,________________
25,3.51,state after change,BBMMMMBMBMBBBBMB,BBMMBDBBBDBBBBBB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBMDM,BBMMMDBMBDBMMMDM,BBMMMBMMBDMMMMDM,BMMMMBMMMDMMMMDM,________________
26,3.712,state after change,BBMMMMBMBMBBBBMB,BBMMBDBBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBMDM,BBMMMDBMBDBMMMDM,BBMMMBMMBDMBMMDM,BMMMMBMMMDMMMMDM,________________
27,3.847,state after change,BBMMMMBMBMBBBBMB,MMMMMMMBBMBBMMMB,BBMMM_BBBDBBBMBB,BBMMMDBBBDBBBMDM,BBMMMDMBBDBMMMDM,BBMMMBMMBDMMMMDM,BMMMMBMMMDMMMMDM,________________
